,statsbomb_xg,goal,player_shot,team,location_x,location_y,shot_distance,shot_angle,bodypart,technique,first_time,state_of_play,assist,assist_state_of_play
2941,0.03893797,False,Lauren James,Manchester United,93.8,46.8,27.068062361388197,104.55,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Free Kick
2942,0.032198112,False,Katie Zelem,Manchester United,107.1,33.6,14.400347218036107,63.61,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
2943,0.058930177,False,Hayley Ladd,Manchester United,101.0,38.9,19.03181546778972,86.69,Right Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
2944,0.07943588,False,Millie Turner,Manchester United,111.4,41.6,8.74757109145161,100.54,Left Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
2945,0.17904563,False,Abbie McManus,Manchester United,110.8,33.1,11.500000000000002,53.13,Right Foot,Half Volley,True,Open Play Shot,Unassisted,No Assist
2946,0.010272844,False,Martha Harris,Manchester United,94.9,20.2,31.969516730785898,51.73,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
2947,0.014149333,False,Amy Turner,Manchester United,103.4,48.1,18.470787747142783,116.01,Head,Normal Shot,False,Open Play Shot,Unassisted,No Assist
2948,0.014429139,False,Katie Zelem,Manchester United,91.0,53.8,32.11603960640228,115.45,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Throw In
2949,0.014214832,False,Charlie Wellings,Bristol City WFC,100.2,27.6,23.36236289419373,57.94,Right Foot,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Throw In
2950,0.0955371,False,Jessica Sigsworth,Manchester United,111.2,43.2,9.363759928575696,109.98,Right Foot,Volley,True,Open Play Shot,Cross,Set Piece - Throw In
2951,0.06533576,False,Amy Turner,Manchester United,100.4,47.4,20.950417656934665,110.68,Right Foot,Half Volley,False,Open Play Shot,Unassisted,No Assist
2952,0.07121678000000001,False,Leah Galton,Manchester United,110.6,50.7,14.242541907960115,138.7,Left Foot,Normal Shot,True,Open Play Shot,Cut Back,Set Piece - Corner
2953,0.41061723,False,Jackie Groenen,Manchester United,112.1,44.3,8.994442728707547,118.56,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Throw In
2954,0.82627153,False,Elizabeth Arnott,Manchester United,117.1,37.4,3.8948684188300944,48.12,Right Foot,Half Volley,True,Open Play Shot,Unassisted,No Assist
2955,0.029908681000000006,False,Leah Galton,Manchester United,111.9,55.8,17.7552809045647,152.86,Left Foot,Normal Shot,False,Open Play Shot,High Pass,Open Play Assist
2956,0.010524795,False,Amy Turner,Manchester United,91.1,54.3,32.24437935516825,116.33,Right Foot,Volley,True,Open Play Shot,Unassisted,No Assist
2957,0.013795689000000002,False,Ella Toone,Manchester United,94.8,57.2,30.51032612083981,124.32,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
2958,0.014280886000000001,False,Yana Daniels,Bristol City WFC,88.2,38.3,31.845407832213414,86.94,Right Foot,Normal Shot,False,Open Play Shot,Low Pass,Set Piece - Free Kick
2959,0.02627102,False,Hayley Ladd,Manchester United,92.8,49.3,28.74595623735624,108.88,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Throw In
2960,0.051273882,False,Jackie Groenen,Manchester United,114.9,53.2,14.150971698084906,158.88,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
2961,0.021895478000000003,False,Martha Harris,Manchester United,108.6,21.7,21.560380330597138,31.92,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Free Kick
2962,0.22778299999999999,False,Ella Toone,Manchester United,110.5,38.6,9.60260381354974,81.62,Left Foot,Volley,True,Open Play Shot,High Pass,Open Play Assist
2963,0.17162779999999994,False,Leah Galton,Manchester United,115.7,50.5,11.346365056704284,157.73,Left Foot,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Throw In
2964,0.18665503,False,Fara Williams,Reading WFC,104.4,30.1,18.476200908195377,57.6,Left Foot,Normal Shot,True,Open Play Shot,Ground Pass,Set Piece - Kick Off
2965,0.013625488000000002,False,Rachel Rowe,Reading WFC,95.9,35.1,24.593088459971828,78.51,Left Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
2966,0.0129664065,False,Courtney Sweetman-Kirk,Liverpool WFC,85.0,39.6,35.00228563965502,89.35,Right Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
2967,0.1743905,False,Courtney Sweetman-Kirk,Liverpool WFC,115.9,32.3,8.723531395025756,28.03,Left Foot,Volley,True,Open Play Shot,High Pass,Set Piece - Free Kick
2968,0.08827493,False,Brooke Chaplen,Reading WFC,106.0,48.2,16.22467256988566,120.36,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
2969,0.3123625,False,Melissa Lawley,Liverpool WFC,113.3,40.7,6.736467917239718,95.96,Head,Normal Shot,False,Open Play Shot,Cross,Open Play Assist
2970,0.031764437,False,Brooke Chaplen,Reading WFC,95.6,44.8,24.86764966779129,101.13,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
2971,0.06275505599999999,False,Brooke Chaplen,Reading WFC,103.2,32.4,18.43908891458577,65.66,Right Foot,Normal Shot,False,Open Play Shot,High Pass,Open Play Assist
2972,0.32373258,False,Natasha Harding,Reading WFC,112.3,38.3,7.885429601486533,77.55,Left Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
2973,0.0149667775,False,Jade Bailey,Liverpool WFC,87.2,39.5,32.803810754240125,89.13,Right Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
2974,0.028120808,True,Fara Williams,Reading WFC,90.2,53.7,32.79832312786738,114.69,Right Foot,Normal Shot,False,Set Piece - Direct Free Kick,Unassisted,No Assist
2975,0.012169151000000001,False,Melissa Lawley,Liverpool WFC,83.0,39.3,37.00662102921584,88.92,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play Assist
2976,0.033841714,False,Brooke Chaplen,Reading WFC,96.1,42.2,24.001041644062038,95.26,Left Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
2977,0.06224921,False,Rebecca Jane,Liverpool WFC,107.4,54.6,19.285227507084276,139.21,Right Foot,Normal Shot,False,Open Play Shot,Low Pass,Set Piece - Throw In
2978,0.24707612,False,Jade Moore,Reading WFC,117.4,46.0,6.539113089708724,156.57,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Throw In
2979,0.012655258,False,Niamh Fahey,Liverpool WFC,107.0,26.6,18.669761648183943,44.13,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Free Kick
2980,0.036711868,False,Jade Moore,Reading WFC,106.1,44.2,14.520674915443847,106.81,Right Foot,Volley,True,Open Play Shot,Cross,Set Piece - Free Kick
2981,0.084310465,False,Natasha Harding,Reading WFC,103.9,34.6,16.981460479004742,71.46,Left Foot,Normal Shot,True,Open Play Shot,Low Pass,Open Play - Counter Attack
