,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist1,assist2,assist3,assist_state_of_play,inside_18_width,inside_18_depth,inside_18,shot_distance,shot_angle
5970,104.0,40.0,2021-06-14 00:43:55.517,0.03710893,Off T,Lynn Williams,North Carolina Courage,Left Foot,Half Volley,False,Open Play,,,,,True,True,True,16.0,90.0
5971,104.0,41.0,2021-06-14 00:02:40.153,0.024452647,Wayward,Samantha Kerr,Chicago Red Stars,Head,Normal,False,Open Play,High Pass,,Cross,Regular Play,True,True,True,16.0312195418814,93.58
5972,111.0,52.0,2021-06-14 00:06:57.578,0.06906492,Off T,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,Low Pass,,,From Throw In,True,True,True,15.0,143.13
5973,116.0,24.0,2021-06-14 00:12:04.095,0.017649349,Saved,Megan Rapinoe,Seattle Reign,Left Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,True,True,16.492422502470642,14.04
5974,109.0,26.0,2021-06-14 00:14:24.747,0.05346892,Off T,Megan Rapinoe,Seattle Reign,Left Foot,Normal,False,Open Play,High Pass,,,Regular Play,True,True,True,17.804493814764857,38.16
5975,104.0,20.0,2021-06-14 00:18:34.307,0.014992818000000002,Blocked,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,False,True,False,25.612496949731394,38.66
5976,99.0,30.0,2021-06-14 00:18:36.238,0.031298034,Blocked,Vanessa DiBernardo,Chicago Red Stars,Left Foot,Normal,False,Open Play,,,,,True,False,False,23.259406699226016,64.54
5977,111.0,36.0,2021-06-14 00:21:05.134,0.26137182000000003,Saved,Jodie Taylor,Seattle Reign,Left Foot,Normal,True,Open Play,Ground Pass,,,Regular Play,True,True,True,9.848857801796104,66.04
5978,97.0,24.0,2021-06-14 00:25:39.653,0.028963929000000003,Saved,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,Low Pass,,,From Keeper,True,False,False,28.0178514522438,55.18
5979,86.0,40.0,2021-06-14 00:28:07.504,0.019899225,Off T,Jessica Fishlock,Seattle Reign,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,False,False,34.0,90.0
5980,98.0,25.0,2021-06-14 00:28:57.373,0.020412795,Saved,Vanessa DiBernardo,Chicago Red Stars,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,False,False,26.627053911388696,55.71
