,statsbomb_xg,goal,time,player,team,shot_distance,inside_18,shot_angle,bodypart,bodypart_angle,technique,first_touch,assist,state_of_play
4784,0.009690458,False,51,Kate Natkiel,Brighton & Hove Albion WFC,28.82932534763864,False,120.66,Right Foot,Right - Outside Foot,Volley,False,Unassisted,Open Play - Unassisted
4785,0.009669189,False,22,Kirsty Linnett,West Ham United LFC,28.454876559212128,False,38.72,Right Foot,Left - Inside Foot,Volley,True,Unassisted,Open Play - Unassisted
4786,0.04594276,True,25,Adriana Leon,West Ham United LFC,23.537204591879643,False,65.39,Right Foot,Left - Inside Foot,Ground,False,Low Pass,Set Piece - Throw In
4787,0.34423843,False,26,Kenza Dali,West Ham United LFC,9.130169768410662,True,118.81,Right Foot,Right - Outside Foot,Ground,True,Low Pass,Open Play
4788,0.5198402400000001,True,26,Martha Thomas,West Ham United LFC,8.348652585896726,True,55.74,Right Foot,Left - Inside Foot,Ground,True,Unassisted,Open Play - Unassisted
4789,0.06414004,False,30,Adriana Leon,West Ham United LFC,16.00781059358212,True,75.53,Right Foot,Left - Inside Foot,Volley,True,High Pass,Open Play
4790,0.009082899,False,34,Niamh Charles,Liverpool WFC,35.262586405424095,False,107.66,Right Foot,Right - Outside Foot,Ground,False,Ground Pass,Open Play
4791,0.028618,False,36,Ashley Hodson,Liverpool WFC,19.10654338178416,False,1.5,Right Foot,Left - Inside Foot,Ground,False,Ground Pass,Open Play
4792,0.07935652,False,41,Julia Simic,West Ham United LFC,20.303940504246945,False,74.87,Right Foot,Left - Inside Foot,Volley,True,Unassisted,Open Play - Unassisted
4793,0.017562593999999997,False,41,Kirsty Linnett,Liverpool WFC,29.585300404085807,False,144.21,Right Foot,Right - Outside Foot,Ground,False,High Pass,Set Piece - Goal Kick
4794,0.022192173000000003,False,42,Kirsty Linnett,Liverpool WFC,23.617789905069444,True,134.66,Left Foot,Right - Inside Foot,Ground,False,Unassisted,Open Play - Unassisted
4795,0.043188524000000006,False,1,Alisha Lehmann,West Ham United LFC,22.30425968284982,True,140.46,Right Foot,Right - Outside Foot,Ground,False,High Pass,Set Piece - Goal Kick
4796,0.027185772,True,6,Martha Thomas,West Ham United LFC,24.08007475071454,False,126.73,Right Foot,Right - Outside Foot,Ground,False,Ground Pass,Open Play
4797,0.03249821,False,10,Niamh Charles,Liverpool WFC,17.253985046939153,True,157.15,Right Foot,Right - Outside Foot,Ground,False,High Pass,Open Play
